test_id,category,name,objective,status,expected,actual,error,timestamp
TC-SEL-001,Selenium Web UI,Page Title Verification,Verify browser tab title contains GlycoGuard AI,PASS,GlycoGuard AI,GlycoGuard AI - Diabetes Prediction & Preventive Health Platform,,2026-08-20T10:54:56.395409
TC-SEL-002,Selenium Web UI,Viewport Meta Tag,Ensure responsive viewport is configured,PASS,width=device-width,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no, viewport-fit=cover",,2026-08-20T10:54:56.415980
TC-SEL-003,Selenium Web UI,Splash Screen Structure,Verify splash screen DOM element exists,PASS,splashScreen element found,Element present,,2026-08-20T10:54:56.425652
TC-SEL-005,Selenium Web UI,Protected Main Shell Hidden,Verify Main App Shell is hidden before login,PASS,display: none,none,,2026-08-20T10:54:56.454713
TC-SEL-009,Selenium Web UI,Theme Attribute Check,Verify data-theme attribute on HTML root,PASS,dark or light,dark,,2026-08-20T10:54:56.553766
TC-SEL-010,Selenium Web UI,Toast Container Presence,Verify toast container exists in DOM,PASS,toastContainer present,Present,,2026-08-20T10:54:56.561043
TC-SEL-011,Selenium Web UI,Login Username Input,Verify username/email input is visible,PASS,Visible,Visible,,2026-08-20T10:54:56.591533
TC-SEL-012,Selenium Web UI,Password Input Masking,Verify password input type is password,PASS,type='password',password,,2026-08-20T10:54:56.610368
TC-SEL-013,Selenium Web UI,Empty Login Validation,Trigger error toast on empty login submission,PASS,Error toast shown,Toast displayed,,2026-08-20T10:54:56.895870
TC-SEL-014,Selenium Web UI,Empty Password Validation,Validate prompt when password omitted,PASS,Password required toast,Please enter username/email and password,,2026-08-20T10:54:57.204096
TC-SEL-015,Selenium Web UI,Valid Login Transition,Verify login transitions to Main App Shell,PASS,display: block,block,,2026-08-20T10:54:57.769847
TC-SEL-016,Selenium Web UI,Session Storage Integrity,Verify token and user persisted in localStorage,PASS,Token and User stored,user=dr_lakshmi,,2026-08-20T10:54:57.777884
TC-SEL-017,Selenium Web UI,Logout Session Cleanup,Verify token cleared and Auth View displayed on logout,PASS,Token cleared & Auth View visible,Token cleared,,2026-08-20T10:54:58.123710
TC-SEL-018,Selenium Web UI,Switch to Register Tab,Verify Register form displays on tab click,PASS,display: block,block,,2026-08-20T10:54:58.351095
TC-SEL-019,Selenium Web UI,Switch to Forgot Tab,Verify Reset form displays on tab click,PASS,display: block,block,,2026-08-20T10:54:58.575288
TC-SEL-020,Selenium Web UI,Switch Back to Login Tab,Verify Login form restores active view,PASS,display: block,block,,2026-08-20T10:54:58.797414
TC-SEL-021,Selenium Web UI,Google Modal Open,Verify Google OAuth modal opens with active class,PASS,Modal active class present,Modal active,,2026-08-20T10:54:59.021086
TC-SEL-022,Selenium Web UI,Google Modal Close,Verify Google OAuth modal closes cleanly,PASS,Modal active class removed,Modal closed,,2026-08-20T10:54:59.239690
TC-SEL-024,Selenium Web UI,Google Custom Input Drawer,Verify Use Another Account reveals email input,PASS,Drawer active,Active,,2026-08-20T10:54:59.682473
TC-SEL-025,Selenium Web UI,Google Login Execution,Verify selecting Google account authenticates and opens app,PASS,display: block,block,,2026-08-20T10:55:00.107606
TC-SEL-026,Selenium Web UI,Dashboard Dynamic Greeting,Verify time-of-day greeting rendered,PASS,Greeting text,"Good morning ☀️, Dr.",,2026-08-20T10:55:00.430032
TC-SEL-027,Selenium Web UI,Dashboard Date Display,Verify current formatted date displayed,PASS,Formatted date string,"Thursday, August 20, 2026",,2026-08-20T10:55:00.443693
TC-SEL-028,Selenium Web UI,Risk Hero Card,Verify Risk Status Hero card is visible,PASS,Hero card displayed,Displayed,,2026-08-20T10:55:00.458590
TC-SEL-029,Selenium Web UI,Risk Status Pill Badge,Verify Risk Badge is displayed,PASS,Contains RISK,LOW RISK,,2026-08-20T10:55:00.472253
TC-SEL-030,Selenium Web UI,Risk Probability Percentage,Verify probability score contains % symbol,PASS,Percentage string,28.4%,,2026-08-20T10:55:00.485714
TC-SEL-031,Selenium Web UI,KPI Glucose Tile,Verify Fasting Glucose numeric metric,PASS,Numeric value,112,,2026-08-20T10:55:00.501317
TC-SEL-032,Selenium Web UI,KPI Water Intake Tile,Verify Water Intake numeric metric,PASS,Numeric value,2.2,,2026-08-20T10:55:00.514818
TC-SEL-033,Selenium Web UI,KPI Physical Activity Tile,Verify Exercise duration metric,PASS,Numeric value,30,,2026-08-20T10:55:00.526536
TC-SEL-034,Selenium Web UI,KPI Sleep Duration Tile,Verify Sleep hours metric,PASS,Numeric value,7.5,,2026-08-20T10:55:00.539187
TC-SEL-035,Selenium Web UI,Quick Actions Navigation Grid,Verify 4 quick action shortcuts visible,PASS,Displayed,Displayed,,2026-08-20T10:55:00.551076
TC-SEL-036,Selenium Web UI,Recent Activity Feed Items,Verify clinical activity records present,PASS,Activity items > 0,2 items,,2026-08-20T10:55:00.565076
TC-SEL-037,Selenium Web UI,Desktop Header Display,Verify desktop header is visible on 1280px viewport,PASS,display: block,block,,2026-08-20T10:55:00.576382
TC-SEL-038,Selenium Web UI,Desktop Navigation Links Count,Verify 8 top navigation links present,PASS,8 navigation links,8 links,,2026-08-20T10:55:00.584014
TC-SEL-039,Selenium Web UI,Navigate to Prediction View,Verify active class on #view-prediction,PASS,View active,Active,,2026-08-20T10:55:00.815605
TC-SEL-040,Selenium Web UI,Navigate to Tracking View,Verify active class on #view-tracking,PASS,View active,Active,,2026-08-20T10:55:01.039547
TC-SEL-041,Selenium Web UI,Navigate to Planner View,Verify active class on #view-planner,PASS,View active,Active,,2026-08-20T10:55:01.263231
TC-SEL-042,Selenium Web UI,Navigate to Patients View,Verify active class on #view-patients,PASS,View active,Active,,2026-08-20T10:55:01.511313
TC-SEL-043,Selenium Web UI,Navigate to Analytics View,Verify active class on #view-analytics,PASS,View active,Active,,2026-08-20T10:55:01.740576
TC-SEL-044,Selenium Web UI,Navigate to Reports View,Verify active class on #view-reports,PASS,View active,Active,,2026-08-20T10:55:01.972120
TC-SEL-045,Selenium Web UI,Navigate to Profile View,Verify active class on #view-profile,PASS,View active,Active,,2026-08-20T10:55:02.204869
TC-SEL-046,Selenium Web UI,Navigate to Dashboard View,Verify active class on #view-dashboard,PASS,View active,Active,,2026-08-20T10:55:02.424866
TC-SEL-047,Selenium Web UI,Bottom Clearance Spacers,Verify footer spacer in every screen view,PASS,>= 8 spacers present,8 spacers,,2026-08-20T10:55:02.431987
TC-SEL-048,Selenium Web UI,Theme Toggle Action,Verify theme flips from dark to light or vice versa,PASS,Theme switched,dark -> light,,2026-08-20T10:55:02.665758
TC-SEL-049,Selenium Web UI,Theme Restore Action,Verify theme returns to expected mode,PASS,Theme restored,dark,,2026-08-20T10:55:02.895055
TC-SEL-050,Selenium Web UI,User Avatar Initial,Verify avatar matches Dr. Lakshmi name initial,PASS,D,D,,2026-08-20T10:55:02.926907
TC-SEL-051,Selenium Web UI,Prediction Biomarker Inputs,Verify all 11 health inputs exist,PASS,All 11 inputs visible,All 11 inputs visible,,2026-08-20T10:55:03.314323
TC-SEL-052,Selenium Web UI,Prediction Patient Selector,Verify patient select dropdown populated,PASS,>= 4 options,5 options,,2026-08-20T10:55:03.331392
TC-SEL-053,Selenium Web UI,Patient Metrics Autofill,Autofill age and BMI from patient record,PASS,"age=34, bmi=22.8","age=34, bmi=22.8",,2026-08-20T10:55:03.581931
TC-SEL-058,Selenium Web UI,Open AI Plan Navigation,Verify Open AI Plan button navigates to Planner,PASS,Planner view active,Active,,2026-08-20T10:55:07.465480
TC-SEL-059,Selenium Web UI,Planner Goal Item Toggle,Verify checklist toggle updates progress badge,PASS,Contains /4 Done,1/4 Done,,2026-08-20T10:55:07.741032
